modern_text,kjv_text
The fat of the sin offering he shall burn on the altar.,"And the fat of the sin offering shall he burn upon the altar. 
"
"“He who lets the goat go as the scapegoat shall wash his clothes, and bathe his flesh in water, and afterward he shall come into the camp.","And he that let go the goat for the scapegoat shall wash his clothes, and bathe his flesh in water, and afterward come into the camp. 
"
"The bull for the sin offering, and the goat for the sin offering, whose blood was brought in to make atonement in the Holy Place, shall be carried outside the camp; and they shall burn their skins, their flesh, and their dung with fire.","And the bullock for the sin offering, and the goat for the sin offering, whose blood was brought in to make atonement in the holy place, shall one carry forth without the camp; and they shall burn in the fire their skins, and their flesh, and their dung. 
"
"He who burns them shall wash his clothes, and bathe his flesh in water, and afterward he shall come into the camp.","And he that burneth them shall wash his clothes, and bathe his flesh in water, and afterward he shall come into the camp. 
"
"“It shall be a statute to you forever: in the seventh month, on the tenth day of the month, you shall afflict your souls, and shall do no kind of work, the native-born, or the stranger who lives as a foreigner among you:","And this shall be a statute for ever unto you: that in the seventh month, on the tenth day of the month, ye shall afflict your souls, and do no work at all, whether it be one of your own country, or a stranger that sojourneth among you: 
"
"for on this day shall atonement be made for you, to cleanse you; from all your sins you shall be clean before Yahweh.","For on that day shall the priest make an atonement for you, to cleanse you, that ye may be clean from all your sins before the LORD. 
"
"It is a Sabbath of solemn rest to you, and you shall afflict your souls. It is a statute forever.","It shall be a sabbath of rest unto you, and ye shall afflict your souls, by a statute for ever. 
"
"The priest, who is anointed and who is consecrated to be priest in his father’s place, shall make the atonement, and shall put on the linen garments, even the holy garments.","And the priest, whom he shall anoint, and whom he shall consecrate to minister in the priest's office in his father's stead, shall make the atonement, and shall put on the linen clothes, even the holy garments: 
"
Then he shall make atonement for the Holy Sanctuary; and he shall make atonement for the Tent of Meeting and for the altar; and he shall make atonement for the priests and for all the people of the assembly.,"And he shall make an atonement for the holy sanctuary, and he shall make an atonement for the tabernacle of the congregation, and for the altar, and he shall make an atonement for the priests, and for all the people of the congregation. 
"
"“This shall be an everlasting statute for you, to make atonement for the children of Israel once in the year because of all their sins.” It was done as Yahweh commanded Moses.","And this shall be an everlasting statute unto you, to make an atonement for the children of Israel for all their sins once a year. And he did as the LORD commanded Moses. 
"
"Yahweh spoke to Moses, saying,","And the LORD spake unto Moses, saying, 
"
"“Speak to Aaron, and to his sons, and to all the children of Israel, and say to them: ‘This is the thing which Yahweh has commanded,","Speak unto Aaron, and unto his sons, and unto all the children of Israel, and say unto them; This is the thing which the LORD hath commanded, saying, 
"
"Whatever man there is of the house of Israel, who kills a bull, or lamb, or goat, in the camp, or who kills it outside the camp,","What man soever there be of the house of Israel, that killeth an ox, or lamb, or goat, in the camp, or that killeth it out of the camp, 
"
"and hasn’t brought it to the door of the Tent of Meeting, to offer it as an offering to Yahweh before Yahweh’s tabernacle: blood shall be imputed to that man. He has shed blood; and that man shall be cut off from among his people.","And bringeth it not unto the door of the tabernacle of the congregation, to offer an offering unto the LORD before the tabernacle of the LORD; blood shall be imputed unto that man; he hath shed blood; and that man shall be cut off from among his people: 
"
"This is to the end that the children of Israel may bring their sacrifices, which they sacrifice in the open field, that they may bring them to Yahweh, to the door of the Tent of Meeting, to the priest, and sacrifice them for sacrifices of peace offerings to Yahweh.","To the end that the children of Israel may bring their sacrifices, which they offer in the open field, even that they may bring them unto the LORD, unto the door of the tabernacle of the congregation, unto the priest, and offer them for peace offerings unto the LORD. 
"
"The priest shall sprinkle the blood on Yahweh’s altar at the door of the Tent of Meeting, and burn the fat for a pleasant aroma to Yahweh.","And the priest shall sprinkle the blood upon the altar of the LORD at the door of the tabernacle of the congregation, and burn the fat for a sweet savor unto the LORD. 
"
"They shall no more sacrifice their sacrifices to the goat idols, after which they play the prostitute. This shall be a statute forever to them throughout their generations.’","And they shall no more offer their sacrifices unto devils, after whom they have gone a whoring. This shall be a statute for ever unto them throughout their generations. 
"
"“You shall say to them, ‘Any man there is of the house of Israel, or of the strangers who live as foreigners among them, who offers a burnt offering or sacrifice,","And thou shalt say unto them, Whatsoever man there be of the house of Israel, or of the strangers which sojourn among you, that offereth a burnt offering or sacrifice, 
"
"and doesn’t bring it to the door of the Tent of Meeting, to sacrifice it to Yahweh; that man shall be cut off from his people.","And bringeth it not unto the door of the tabernacle of the congregation, to offer it unto the LORD; even that man shall be cut off from among his people. 
"
"“‘Any man of the house of Israel, or of the strangers who live as foreigners among them, who eats any kind of blood, I will set my face against that soul who eats blood, and will cut him off from among his people.","And whatsoever man there be of the house of Israel, or of the strangers that sojourn among you, that eateth any manner of blood; I will even set my face against that soul that eateth blood, and will cut him off from among his people. 
"
For the life of the flesh is in the blood; and I have given it to you on the altar to make atonement for your souls: for it is the blood that makes atonement by reason of the life.,"For the life of the flesh is in the blood: and I have given it to you upon the altar to make an atonement for your souls: for it is the blood that maketh an atonement for the soul. 
"
"Therefore I have said to the children of Israel, “No person among you may eat blood, nor may any stranger who lives as a foreigner among you eat blood.”","Therefore I said unto the children of Israel, No soul of you shall eat blood, neither shall any stranger that sojourneth among you eat blood. 
"
"“‘Whatever man there is of the children of Israel, or of the strangers who live as foreigners among them, who takes in hunting any animal or bird that may be eaten; he shall pour out its blood, and cover it with dust.","And whatsoever man there be of the children of Israel, or of the strangers that sojourn among you, which hunteth and catcheth any beast or fowl that may be eaten; he shall even pour out the blood thereof, and cover it with dust. 
"
"For as to the life of all flesh, its blood is with its life: therefore I said to the children of Israel, “You shall not eat the blood of any kind of flesh; for the life of all flesh is its blood. Whoever eats it shall be cut off.”","For it is the life of all flesh; the blood of it is for the life thereof: therefore I said unto the children of Israel, Ye shall eat the blood of no manner of flesh: for the life of all flesh is the blood thereof: whosoever eateth it shall be cut off. 
"
"“‘Every person that eats what dies of itself, or that which is torn by animals, whether he is native-born or a foreigner, he shall wash his clothes, and bathe himself in water, and be unclean until the evening: then he shall be clean.","And every soul that eateth that which died of itself, or that which was torn with beasts, whether it be one of your own country, or a stranger, he shall both wash his clothes, and bathe himself in water, and be unclean until the even: then shall he be clean. 
"
"But if he doesn’t wash them, or bathe his flesh, then he shall bear his iniquity.’”","But if he wash them not, nor bathe his flesh; then he shall bear his iniquity. 
"
"Yahweh said to Moses,","And the LORD spake unto Moses, saying, 
"
"“Speak to the children of Israel, and say to them, ‘I am Yahweh your God.","Speak unto the children of Israel, and say unto them, I am the LORD your God. 
"
"You shall not do as they do in the land of Egypt, where you lived: and you shall not do as they do in the land of Canaan, where I am bringing you. You shall not follow their statutes.","After the doings of the land of Egypt, wherein ye dwelt, shall ye not do: and after the doings of the land of Canaan, whither I bring you, shall ye not do: neither shall ye walk in their ordinances. 
"
"You shall do my ordinances, and you shall keep my statutes, and walk in them: I am Yahweh your God.","Ye shall do my judgments, and keep mine ordinances, to walk therein: I am the LORD your God. 
"
"You shall therefore keep my statutes and my ordinances; which if a man does, he shall live in them. I am Yahweh.","Ye shall therefore keep my statutes, and my judgments: which if a man do, he shall live in them: I am the LORD. 
"
"“‘None of you shall approach any close relatives, to uncover their nakedness: I am Yahweh.","None of you shall approach to any that is near of kin to him, to uncover their nakedness: I am the LORD. 
"
"“‘You shall not uncover the nakedness of your father, nor the nakedness of your mother: she is your mother. You shall not uncover her nakedness.","The nakedness of thy father, or the nakedness of thy mother, shalt thou not uncover: she is thy mother; thou shalt not uncover her nakedness. 
"
“‘You shall not uncover the nakedness of your father’s wife. It is your father’s nakedness.,"The nakedness of thy father's wife shalt thou not uncover: it is thy father's nakedness. 
"
"“‘You shall not uncover the nakedness of your sister, the daughter of your father, or the daughter of your mother, whether born at home, or born abroad.","The nakedness of thy sister, the daughter of thy father, or daughter of thy mother, whether she be born at home, or born abroad, even their nakedness thou shalt not uncover. 
"
"“‘You shall not uncover the nakedness of your son’s daughter, or of your daughter’s daughter, even their nakedness: for theirs is your own nakedness.","The nakedness of thy son's daughter, or of thy daughter's daughter, even their nakedness thou shalt not uncover: for theirs is thine own nakedness. 
"
"“‘You shall not uncover the nakedness of your father’s wife’s daughter, conceived by your father, since she is your sister.","The nakedness of thy father's wife's daughter, begotten of thy father, she is thy sister, thou shalt not uncover her nakedness. 
"
“‘You shall not uncover the nakedness of your father’s sister: she is your father’s near kinswoman.,"Thou shalt not uncover the nakedness of thy father's sister: she is thy father's near kinswoman. 
"
“‘You shall not uncover the nakedness of your mother’s sister: for she is your mother’s near kinswoman.,"Thou shalt not uncover the nakedness of thy mother's sister: for she is thy mother's near kinswoman. 
"
"“‘You shall not uncover the nakedness of your father’s brother, you shall not approach his wife. She is your aunt.","Thou shalt not uncover the nakedness of thy father's brother, thou shalt not approach to his wife: she is thine aunt. 
"
“‘You shall not uncover the nakedness of your daughter-in-law: she is your son’s wife. You shall not uncover her nakedness.,"Thou shalt not uncover the nakedness of thy daughter in law: she is thy son's wife; thou shalt not uncover her nakedness. 
"
“‘You shall not uncover the nakedness of your brother’s wife. It is your brother’s nakedness.,"Thou shalt not uncover the nakedness of thy brother's wife: it is thy brother's nakedness. 
"
"“‘You shall not uncover the nakedness of a woman and her daughter. You shall not take her son’s daughter, or her daughter’s daughter, to uncover her nakedness; they are near kinswomen: it is wickedness.","Thou shalt not uncover the nakedness of a woman and her daughter, neither shalt thou take her son's daughter, or her daughter's daughter, to uncover her nakedness; for they are her near kinswomen: it is wickedness. 
"
"“‘You shall not take a wife in addition to her sister, to be a rival, to uncover her nakedness, while her sister is still alive.","Neither shalt thou take a wife to her sister, to vex her, to uncover her nakedness, beside the other in her life time. 
"
"“‘You shall not approach a woman to uncover her nakedness, as long as she is impure by her uncleanness.","Also thou shalt not approach unto a woman to uncover her nakedness, as long as she is put apart for her uncleanness. 
"
"“‘You shall not lie carnally with your neighbor’s wife, and defile yourself with her.","Moreover thou shalt not lie carnally with thy neighbor's wife, to defile thyself with her. 
"
“‘You shall not give any of your children as a sacrifice to Molech. You shall not profane the name of your God. I am Yahweh.,"And thou shalt not let any of thy seed pass through the fire to Molech, neither shalt thou profane the name of thy God: I am the LORD. 
"
"“‘You shall not lie with a man, as with a woman. That is detestable.","Thou shalt not lie with mankind, as with womankind: it is abomination. 
"
"“‘You shall not lie with any animal to defile yourself with it. No woman may give herself to an animal, to lie down with it: it is a perversion.","Neither shalt thou lie with any beast to defile thyself therewith: neither shall any woman stand before a beast to lie down thereto: it is confusion. 
"
“‘Don’t defile yourselves in any of these things: for in all these the nations which I am casting out before you were defiled.,"Defile not ye yourselves in any of these things: for in all these the nations are defiled which I cast out before you: 
"
"The land was defiled: therefore I punished its iniquity, and the land vomited out her inhabitants.","And the land is defiled: therefore I do visit the iniquity thereof upon it, and the land itself vomiteth out her inhabitants. 
"
"You therefore shall keep my statutes and my ordinances, and shall not do any of these abominations; neither the native-born, nor the stranger who lives as a foreigner among you;","Ye shall therefore keep my statutes and my judgments, and shall not commit any of these abominations; neither any of your own nation, nor any stranger that sojourneth among you: 
"
"(for the men of the land that were before you had done all these abominations, and the land became defiled);","(For all these abominations have the men of the land done, which were before you, and the land is defiled;) 
"
"that the land not vomit you out also, when you defile it, as it vomited out the nation that was before you.","That the land spue not you out also, when ye defile it, as it spued out the nations that were before you. 
"
"“‘For whoever shall do any of these abominations, even the souls that do them shall be cut off from among their people.","For whosoever shall commit any of these abominations, even the souls that commit them shall be cut off from among their people. 
"
"Therefore you shall keep my requirements, that you do not practice any of these abominable customs, which were practiced before you, and that you do not defile yourselves with them. I am Yahweh your God.’”","Therefore shall ye keep mine ordinance, that ye commit not any one of these abominable customs, which were committed before you, and that ye defile not yourselves therein: I am the LORD your God. 
"
"Yahweh spoke to Moses, saying,","And the LORD spake unto Moses, saying, 
"
"“Speak to all the congregation of the children of Israel, and tell them, ‘You shall be holy; for I, Yahweh your God, am holy.","Speak unto all the congregation of the children of Israel, and say unto them, Ye shall be holy: for I the LORD your God am holy. 
"
“‘Each one of you shall respect his mother and his father. You shall keep my Sabbaths. I am Yahweh your God.,"Ye shall fear every man his mother, and his father, and keep my sabbaths: I am the LORD your God. 
"
"“‘Don’t turn to idols, nor make molten gods for yourselves. I am Yahweh your God.","Turn ye not unto idols, nor make to yourselves molten gods: I am the LORD your God. 
"
"“‘When you offer a sacrifice of peace offerings to Yahweh, you shall offer it so that you may be accepted.","And if ye offer a sacrifice of peace offerings unto the LORD, ye shall offer it at your own will. 
"
"It shall be eaten the same day you offer it, and on the next day: and if anything remains until the third day, it shall be burned with fire.","It shall be eaten the same day ye offer it, and on the morrow: and if ought remain until the third day, it shall be burnt in the fire. 
"
"If it is eaten at all on the third day, it is an abomination. It will not be accepted;","And if it be eaten at all on the third day, it is abominable; it shall not be accepted. 
"
"but everyone who eats it shall bear his iniquity, because he has profaned the holy thing of Yahweh, and that soul shall be cut off from his people.","Therefore every one that eateth it shall bear his iniquity, because he hath profaned the hallowed thing of the LORD: and that soul shall be cut off from among his people. 
"
"“‘When you reap the harvest of your land, you shall not wholly reap the corners of your field, neither shall you gather the gleanings of your harvest.","And when ye reap the harvest of your land, thou shalt not wholly reap the corners of thy field, neither shalt thou gather the gleanings of thy harvest. 
"
"You shall not glean your vineyard, neither shall you gather the fallen grapes of your vineyard. You shall leave them for the poor and for the foreigner. I am Yahweh your God.","And thou shalt not glean thy vineyard, neither shalt thou gather every grape of thy vineyard; thou shalt leave them for the poor and stranger: I am the LORD your God. 
"
“‘You shall not steal. “‘You shall not lie. “‘You shall not deceive one another.,"Ye shall not steal, neither deal falsely, neither lie one to another. 
"
"“‘You shall not swear by my name falsely, and profane the name of your God. I am Yahweh.","And ye shall not swear by my name falsely, neither shalt thou profane the name of thy God: I am the LORD. 
"
"“‘You shall not oppress your neighbor, nor rob him. “‘The wages of a hired servant shall not remain with you all night until the morning.","Thou shalt not defraud thy neighbor, neither rob him: the wages of him that is hired shall not abide with thee all night until the morning. 
"
"“‘You shall not curse the deaf, nor put a stumbling block before the blind; but you shall fear your God. I am Yahweh.","Thou shalt not curse the deaf, nor put a stumbling-block before the blind, but shalt fear thy God: I am the LORD. 
"
"“‘You shall do no injustice in judgment. You shall not be partial to the poor, nor show favoritism to the great; but you shall judge your neighbor in righteousness.","Ye shall do no unrighteousness in judgment: thou shalt not respect the person of the poor, nor honor the person of the mighty: but in righteousness shalt thou judge thy neighbor. 
"
“‘You shall not go up and down as a slanderer among your people. “‘You shall not endanger the life of your neighbor. I am Yahweh.,"Thou shalt not go up and down as a talebearer among thy people: neither shalt thou stand against the blood of thy neighbor; I am the LORD. 
"
"“‘You shall not hate your brother in your heart. You shall surely rebuke your neighbor, and not bear sin because of him.","Thou shalt not hate thy brother in thine heart: thou shalt in any wise rebuke thy neighbor, and not suffer sin upon him. 
"
"“‘You shall not take vengeance, nor bear any grudge against the children of your people; but you shall love your neighbor as yourself. I am Yahweh.","Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD. 
"
“‘You shall keep my statutes. “‘You shall not cross-breed different kinds of animals. “‘You shall not sow your field with two kinds of seed; “‘Don’t wear a garment made of two kinds of material.,"Ye shall keep my statutes. Thou shalt not let thy cattle gender with a diverse kind: thou shalt not sow thy field with mingled seed: neither shall a garment mingled of linen and woolen come upon thee. 
"
"“‘If a man lies carnally with a woman who is a slave girl, pledged to be married to another man, and not ransomed, or given her freedom; they shall be punished. They shall not be put to death, because she was not free.","And whosoever lieth carnally with a woman, that is a bondmaid, betrothed to an husband, and not at all redeemed, nor freedom given her; she shall be scourged; they shall not be put to death, because she was not free. 
"
"He shall bring his trespass offering to Yahweh, to the door of the Tent of Meeting, even a ram for a trespass offering.","And he shall bring his trespass offering unto the LORD, unto the door of the tabernacle of the congregation, even a ram for a trespass offering. 
"
The priest shall make atonement for him with the ram of the trespass offering before Yahweh for his sin which he has committed: and the sin which he has committed shall be forgiven him.,"And the priest shall make an atonement for him with the ram of the trespass offering before the LORD for his sin which he hath done: and the sin which he hath done shall be forgiven him. 
"
"“‘When you come into the land, and have planted all kinds of trees for food, then you shall count their fruit as forbidden. Three years they shall be forbidden to you. It shall not be eaten.","And when ye shall come into the land, and shall have planted all manner of trees for food, then ye shall count the fruit thereof as uncircumcised: three years shall it be as uncircumcised unto you: it shall not be eaten of.
"
"But in the fourth year all its fruit shall be holy, for giving praise to Yahweh.","But in the fourth year all the fruit thereof shall be holy to praise the LORD withal. 
"
"In the fifth year you shall eat its fruit, that it may yield its increase to you. I am Yahweh your God.","And in the fifth year shall ye eat of the fruit thereof, that it may yield unto you the increase thereof: I am the LORD your God. 
"
"“‘You shall not eat any meat with the blood still in it. You shall not use enchantments, nor practice sorcery.","Ye shall not eat any thing with the blood: neither shall ye use enchantment, nor observe times. 
"
“‘You shall not cut the hair on the sides of your head or clip off the edge of your beard.,"Ye shall not round the corners of your heads, neither shalt thou mar the corners of thy beard. 
"
"“‘You shall not make any cuttings in your flesh for the dead, nor tattoo any marks on you. I am Yahweh.","Ye shall not make any cuttings in your flesh for the dead, nor print any marks upon you: I am the LORD. 
"
"“‘Don’t profane your daughter, to make her a prostitute; lest the land fall to prostitution, and the land become full of wickedness.","Do not prostitute thy daughter, to cause her to be a whore; lest the land fall to whoredom, and the land become full of wickedness. 
"
"“‘You shall keep my Sabbaths, and reverence my sanctuary; I am Yahweh.","Ye shall keep my sabbaths, and reverence my sanctuary: I am the LORD. 
"
"“‘Don’t turn to those who are mediums, nor to the wizards. Don’t seek them out, to be defiled by them. I am Yahweh your God.","Regard not them that have familiar spirits, neither seek after wizards, to be defiled by them: I am the LORD your God. 
"
"“‘You shall rise up before the gray head, and honor the face of an old man, and you shall fear your God. I am Yahweh.","Thou shalt rise up before the hoary head, and honor the face of the old man, and fear thy God: I am the LORD. 
"
"“‘If a stranger lives as a foreigner with you in your land, you shall not do him wrong.","And if a stranger sojourn with thee in your land, ye shall not vex him. 
"
"The stranger who lives as a foreigner with you shall be to you as the native-born among you, and you shall love him as yourself; for you lived as foreigners in the land of Egypt. I am Yahweh your God.","But the stranger that dwelleth with you shall be unto you as one born among you, and thou shalt love him as thyself; for ye were strangers in the land of Egypt: I am the LORD your God. 
"
"“‘You shall do no unrighteousness in judgment, in measures of length, of weight, or of quantity.","Ye shall do no unrighteousness in judgment, in meteyard, in weight, or in measure. 
"
"You shall have just balances, just weights, a just ephah, and a just hin. I am Yahweh your God, who brought you out of the land of Egypt.","Just balances, just weights, a just ephah, and a just hin, shall ye have: I am the LORD your God, which brought you out of the land of Egypt. 
"
"“‘You shall observe all my statutes, and all my ordinances, and do them. I am Yahweh.’”","Therefore shall ye observe all my statutes, and all my judgments, and do them: I am the LORD. 
"
"Yahweh spoke to Moses, saying,","And the LORD spake unto Moses, saying, 
"
"“Moreover, you shall tell the children of Israel, ‘Anyone of the children of Israel, or of the strangers who live as foreigners in Israel, who gives any of his offspring to Molech; he shall surely be put to death. The people of the land shall stone him with stones.","Again, thou shalt say to the children of Israel, Whosoever he be of the children of Israel, or of the strangers that sojourn in Israel, that giveth any of his seed unto Molech; he shall surely be put to death: the people of the land shall stone him with stones. 
"
"I also will set my face against that person, and will cut him off from among his people because he has given of his offspring to Molech, to defile my sanctuary, and to profane my holy name.","And I will set my face against that man, and will cut him off from among his people; because he hath given of his seed unto Molech, to defile my sanctuary, and to profane my holy name. 
"
"If the people of the land all hide their eyes from that person, when he gives of his offspring to Molech, and don’t put him to death;","And if the people of the land do any ways hide their eyes from the man, when he giveth of his seed unto Molech, and kill him not: 
"
"then I will set my face against that man, and against his family, and will cut him off, and all who play the prostitute after him, to play the prostitute with Molech, from among their people.","Then I will set my face against that man, and against his family, and will cut him off, and all that go a whoring after him, to commit whoredom with Molech, from among their people. 
"
"“‘The person that turns to those who are mediums, and to the wizards, to play the prostitute after them, I will even set my face against that person, and will cut him off from among his people.","And the soul that turneth after such as have familiar spirits, and after wizards, to go a whoring after them, I will even set my face against that soul, and will cut him off from among his people. 
"
"“‘Sanctify yourselves therefore, and be holy; for I am Yahweh your God.","Sanctify yourselves therefore, and be ye holy: for I am the LORD your God. 
"
"You shall keep my statutes, and do them. I am Yahweh who sanctifies you.","And ye shall keep my statutes, and do them: I am the LORD which sanctify you. 
"
“‘For everyone who curses his father or his mother shall surely be put to death: he has cursed his father or his mother; his blood shall be upon him.,"For every one that curseth his father or his mother shall be surely put to death: he hath cursed his father or his mother; his blood shall be upon him. 
"
"“‘The man who commits adultery with another man’s wife, even he who commits adultery with his neighbor’s wife, the adulterer and the adulteress shall surely be put to death.","And the man that committeth adultery with another man's wife, even he that committeth adultery with his neighbor's wife, the adulterer and the adulteress shall surely be put to death. 
"
“‘The man who lies with his father’s wife has uncovered his father’s nakedness: both of them shall surely be put to death; their blood shall be upon them.,"And the man that lieth with his father's wife hath uncovered his father's nakedness: both of them shall surely be put to death; their blood shall be upon them. 
"
"“‘If a man lies with his daughter-in-law, both of them shall surely be put to death: they have committed a perversion; their blood shall be upon them.","And if a man lie with his daughter in law, both of them shall surely be put to death: they have wrought confusion; their blood shall be upon them. 
"
"“‘If a man lies with a male, as with a woman, both of them have committed an abomination: they shall surely be put to death; their blood shall be upon them.","If a man also lie with mankind, as he lieth with a woman, both of them have committed an abomination: they shall surely be put to death; their blood shall be upon them. 
"
"“‘If a man takes a wife and her mother, it is wickedness: they shall be burned with fire, both he and they; that there may be no wickedness among you.","And if a man take a wife and her mother, it is wickedness: they shall be burnt with fire, both he and they; that there be no wickedness among you. 
"
"“‘If a man lies with an animal, he shall surely be put to death; and you shall kill the animal.","And if a man lie with a beast, he shall surely be put to death: and ye shall slay the beast. 
"
"“‘If a woman approaches any animal, and lies with it, you shall kill the woman and the animal. They shall surely be put to death. Their blood shall be upon them.","And if a woman approach unto any beast, and lie down thereto, thou shalt kill the woman, and the beast: they shall surely be put to death; their blood shall be upon them. 
"
"“‘If a man takes his sister, his father’s daughter, or his mother’s daughter, and sees her nakedness, and she sees his nakedness; it is a shameful thing. They shall be cut off in the sight of the children of their people. He has uncovered his sister’s nakedness. He shall bear his iniquity.","And if a man shall take his sister, his father's daughter, or his mother's daughter, and see her nakedness, and she see his nakedness; it is a wicked thing; and they shall be cut off in the sight of their people: he hath uncovered his sister's nakedness; he shall bear his iniquity. 
"
"“‘If a man lies with a woman having her monthly period, and uncovers her nakedness; he has made naked her fountain, and she has uncovered the fountain of her blood. Both of them shall be cut off from among their people.","And if a man shall lie with a woman having her sickness, and shall uncover her nakedness; he hath discovered her fountain, and she hath uncovered the fountain of her blood: and both of them shall be cut off from among their people. 
"
"“‘You shall not uncover the nakedness of your mother’s sister, nor of your father’s sister; for he has made his close relative naked. They shall bear their iniquity.","And thou shalt not uncover the nakedness of thy mother's sister, nor of thy father's sister: for he uncovereth his near kin: they shall bear their iniquity. 
"
"If a man lies with his uncle’s wife, he has uncovered his uncle’s nakedness. They shall bear their sin. They shall die childless.","And if a man shall lie with his uncle's wife, he hath uncovered his uncle's nakedness: they shall bear their sin; they shall die childless. 
"
"“‘If a man takes his brother’s wife, it is an impurity. He has uncovered his brother’s nakedness. They shall be childless.","And if a man shall take his brother's wife, it is an unclean thing: he hath uncovered his brother's nakedness; they shall be childless. 
"
"“‘You shall therefore keep all my statutes, and all my ordinances, and do them; that the land, where I am bringing you to dwell, may not vomit you out.","Ye shall therefore keep all my statutes, and all my judgments, and do them: that the land, whither I bring you to dwell therein, spue you not out. 
"
"You shall not walk in the customs of the nation, which I am casting out before you: for they did all these things, and therefore I abhorred them.","And ye shall not walk in the manners of the nation, which I cast out before you: for they committed all these things, and therefore I abhorred them. 
"
"But I have said to you, “You shall inherit their land, and I will give it to you to possess it, a land flowing with milk and honey.” I am Yahweh your God, who has separated you from the peoples.","But I have said unto you, Ye shall inherit their land, and I will give it unto you to possess it, a land that floweth with milk and honey: I am the LORD your God, which have separated you from other people. 
"
"“‘You shall therefore make a distinction between the clean animal and the unclean, and between the unclean fowl and the clean: and you shall not make yourselves abominable by animal, or by bird, or by anything with which the ground teems, which I have separated from you as unclean for you.","Ye shall therefore put difference between clean beasts and unclean, and between unclean fowls and clean: and ye shall not make your souls abominable by beast, or by fowl, or by any manner of living thing that creepeth on the ground, which I have separated from you as unclean. 
"
"You shall be holy to me; for I, Yahweh, am holy, and have set you apart from the peoples, that you should be mine.","And ye shall be holy unto me: for I the LORD am holy, and have severed you from other people, that ye should be mine. 
"
"“‘A man or a woman that is a medium, or is a wizard, shall surely be put to death: they shall stone them with stones. Their blood shall be upon them.’”","A man also or woman that hath a familiar spirit, or that is a wizard, shall surely be put to death: they shall stone them with stones: their blood shall be upon them. 
"
"Yahweh said to Moses, “Speak to the priests, the sons of Aaron, and say to them, ‘A priest shall not defile himself for the dead among his people;","And the LORD said unto Moses, Speak unto the priests the sons of Aaron, and say unto them, There shall none be defiled for the dead among his people: 
"
"except for his relatives that are near to him: for his mother, for his father, for his son, for his daughter, for his brother,","But for his kin, that is near unto him, that is, for his mother, and for his father, and for his son, and for his daughter, and for his brother. 
"
"and for his virgin sister who is near to him, who has had no husband; for her he may defile himself.","And for his sister a virgin, that is nigh unto him, which hath had no husband; for her may he be defiled. 
"
"He shall not defile himself, being a chief man among his people, to profane himself.","But he shall not defile himself, being a chief man among his people, to profane himself. 
"
“‘They shall not shave their heads or shave off the corners of their beards or make any cuttings in their flesh.,"They shall not make baldness upon their head, neither shall they shave off the corner of their beard, nor make any cuttings in their flesh. 
"
"They shall be holy to their God, and not profane the name of their God; for they offer the offerings of Yahweh made by fire, the bread of their God; therefore they shall be holy.","They shall be holy unto their God, and not profane the name of their God: for the offerings of the LORD made by fire, and the bread of their God, they do offer: therefore they shall be holy. 
"
"“‘They shall not marry a woman who is a prostitute, or profane. They shall not marry a woman divorced from her husband; for he is holy to his God.","They shall not take a wife that is a whore, or profane; neither shall they take a woman put away from her husband: for he is holy unto his God. 
"
"You shall sanctify him therefore; for he offers the bread of your God. He shall be holy to you; for I Yahweh, who sanctify you, am holy.","Thou shalt sanctify him therefore; for he offereth the bread of thy God: he shall be holy unto thee: for I the LORD, which sanctify you, am holy. 
"
"“‘The daughter of any priest, if she profanes herself by playing the prostitute, she profanes her father. She shall be burned with fire.","And the daughter of any priest, if she profane herself by playing the whore, she profaneth her father: she shall be burnt with fire. 
"
"“‘He who is the high priest among his brothers, upon whose head the anointing oil is poured, and that is consecrated to put on the garments, shall not let the hair of his head hang loose, or tear his clothes.","And he that is the high priest among his brethren, upon whose head the anointing oil was poured, and that is consecrated to put on the garments, shall not uncover his head, nor rend his clothes; 
"
"He must not go in to any dead body, or defile himself for his father, or for his mother.","Neither shall he go in to any dead body, nor defile himself for his father, or for his mother; 
"
"He shall not go out of the sanctuary, nor profane the sanctuary of his God; for the crown of the anointing oil of his God is upon him. I am Yahweh.","Neither shall he go out of the sanctuary, nor profane the sanctuary of his God; for the crown of the anointing oil of his God is upon him: I am the LORD. 
"
“‘He shall take a wife in her virginity.,"And he shall take a wife in her virginity. 
"
"A widow, or one divorced, or a woman who has been defiled, or a prostitute, these he shall not marry: but a virgin of his own people shall he take as a wife.","A widow, or a divorced woman, or profane, or an harlot, these shall he not take: but he shall take a virgin of his own people to wife. 
"
"He shall not profane his offspring among his people, for I am Yahweh who sanctifies him.’”","Neither shall he profane his seed among his people: for I the LORD do sanctify him. 
"
"Yahweh spoke to Moses, saying,","And the LORD spake unto Moses, saying, 
"
"“Say to Aaron, ‘None of your offspring throughout their generations who has a defect may approach to offer the bread of his God.","Speak unto Aaron, saying, Whosoever he be of thy seed in their generations that hath any blemish, let him not approach to offer the bread of his God. 
"
"For whatever man he is that has a defect, he shall not draw near: a blind man, or a lame, or he who has a flat nose, or any deformity,","For whatsoever man he be that hath a blemish, he shall not approach: a blind man, or a lame, or he that hath a flat nose, or any thing superfluous, 
"
"or a man who has an injured foot, or an injured hand,","Or a man that is broken-footed, or broken-handed, 
"
